city_name,country,population_density,avg_income,internet_penetration,avg_rent,air_quality_index,public_transport_score,happiness_score,green_space_ratio,tsne_1,tsne_2
Saint Forest,Asia,8776,1700,85.8,600,87,48.9,5.5,21.6,-5.458134,11.09817
Bay,Asia,7680,2510,72.2,830,107,51.2,5.6,32.5,-6.8924494,10.652431
Mount Ridge,Asia,7641,3500,72.4,1490,57,69.6,7.6,21.2,-0.60381037,12.787225
Old Wood,Asia,6448,640,53.4,220,57,44.1,4.6,20.9,-11.727913,6.379586
Old Springs,Asia,1954,2270,75.6,960,77,38.9,6.3,44.1,-3.854942,-2.7200336
Ridgeford,Asia,4838,2430,75.6,990,79,53.8,6.6,35.1,-3.3153765,3.3389168
Stoneland,Asia,10125,2430,66.6,920,79,61.1,5.3,11.0,-3.9158869,13.361592
Forest,Asia,5813,2480,78.4,950,85,38.3,4.9,22.5,-6.4477735,5.0596333
Springsdale,Asia,4983,2650,78.2,1050,74,55.6,7.1,47.5,1.2030082,-4.686454
Lake Bay,Asia,8179,2970,72.9,1050,101,59.9,5.6,22.4,-5.2663755,12.801871
Pointdale,Asia,11483,3760,91.4,1450,78,92.7,7.4,26.2,-1.0895683,14.998002
Park,Asia,3764,1090,52.7,330,102,34.3,4.7,44.0,-17.808197,-4.9588156
South Garden,Asia,4796,2540,85.4,880,61,52.1,5.8,25.4,-2.4182043,2.059174
Parkville,Asia,8162,2670,78.2,960,133,49.6,4.6,19.2,-7.7078896,14.181265
Fallsborough,Asia,5673,2680,48.4,1110,91,70.9,5.7,29.2,-6.992268,8.486052
Pointhaven,Asia,11278,2130,83.4,740,70,49.4,6.1,19.0,-4.972753,11.432289
Port Field,Asia,9819,2680,67.3,1160,120,54.7,5.1,23.9,-6.647411,13.800718
Lake Hill,Asia,11559,1690,69.6,590,140,62.1,2.5,2.0,-6.2910995,18.040886
Mount Hill,Asia,10836,2130,71.0,840,112,57.9,4.6,20.9,-6.461686,14.339752
Beach,Asia,12146,1900,64.6,730,140,75.7,3.5,24.8,-7.1319895,16.655972
Mount Field,Asia,8743,3020,76.1,1130,111,85.1,5.6,13.5,-3.4225242,15.611596
Harbor,Asia,9710,2680,73.1,900,129,86.0,4.8,20.1,-5.0002904,15.966097
Old Garden,Asia,3724,2630,80.6,660,103,53.2,5.9,22.7,-5.441521,6.680986
Vista,Asia,9488,2350,56.7,890,104,57.2,5.5,29.1,-6.806473,11.667303
Townton,Asia,12579,3130,75.5,900,98,71.7,5.8,17.1,-4.255833,15.252978
Mount Beach,Asia,10667,3110,72.2,860,102,57.3,6.3,21.8,-5.285236,13.408307
San Bay,Asia,8339,2730,80.8,1040,131,67.5,5.6,21.0,-6.0278835,15.211959
Port Harbor,Asia,2574,2400,76.8,1020,103,52.1,5.5,33.1,-4.380242,5.144306
Stoneton,Asia,13345,2720,86.1,950,124,65.7,4.8,6.1,-5.0303383,17.326744
Parkshire,Asia,8782,3380,71.2,1200,88,74.4,6.8,17.4,-2.2795525,13.779029
Pointford,Asia,10164,1880,70.5,630,142,50.8,4.3,25.3,-8.582042,14.648016
Parkhaven,Asia,11310,3730,100.0,1410,115,81.2,5.7,14.8,-3.037431,16.539755
Port Falls,Asia,8925,1810,69.3,640,93,66.9,5.0,31.9,-4.9809747,9.593554
West Park,Asia,4806,2480,76.8,860,87,56.3,5.1,24.9,-5.91175,6.250059
Hilldale,Asia,138,2030,51.5,740,69,42.3,5.3,36.1,-10.997435,-2.6372023
Valleyford,Asia,2505,3000,60.1,1120,76,63.7,7.0,45.8,0.15927762,-2.841861
Stoneshire,Asia,8072,2290,74.8,550,100,58.7,5.3,27.9,-5.9572372,10.329656
Bridgeburg,Asia,3845,2000,67.6,690,81,36.9,5.7,39.3,-7.977679,-0.08625008
Mount Falls,Asia,100,2330,54.6,980,63,43.8,6.6,46.1,-5.3964834,-3.8801117
New River,Asia,7814,2050,79.9,640,62,71.3,7.2,31.3,-1.3062873,9.154128
Beachford,Asia,10378,2650,68.5,790,77,74.0,6.6,34.5,-2.2496643,10.06496
Fallsville,Asia,9421,2340,61.7,910,106,73.7,5.4,19.3,-4.2827606,14.513037
West Bay,Asia,1637,2120,66.2,760,83,35.4,5.1,24.4,-11.7698965,2.4943714
Bayford,Asia,7379,2150,70.6,450,68,68.6,6.2,35.6,-2.279466,8.519489
Gardenford,Asia,10624,2520,78.1,830,83,74.4,5.9,30.4,-2.5193717,10.50054
Woodhaven,Asia,13612,2660,83.5,1090,126,74.7,4.1,12.2,-4.8337407,17.15271
Port Wood,Asia,6641,2320,93.4,920,102,71.8,6.3,37.4,0.6134156,7.0264215
Cityville,Asia,6135,2230,69.7,820,82,53.3,6.5,40.0,-3.9616969,2.7216492
Springsborough,Asia,5628,2300,76.3,800,84,52.2,6.1,32.6,-4.117493,3.7695954
Old River,Asia,3000,2790,71.4,1080,48,49.4,7.2,38.7,2.0031612,-2.1096761
Bayshire,Asia,7320,1090,74.7,400,71,50.1,6.5,34.6,-6.608035,2.2156105
Saint Field,Asia,4611,2130,69.9,770,91,29.2,4.8,32.4,-9.504981,2.1930835
Stonedale,Asia,4360,2510,72.5,920,83,42.0,5.4,29.2,-5.965982,4.213986
Beachland,Asia,10511,1950,77.0,580,146,77.2,4.5,30.3,-7.6217914,16.46119
Forestborough,Asia,6779,2730,71.0,740,56,65.8,7.5,25.0,-0.6178201,9.655316
Rivershire,Asia,6949,2860,70.3,1090,75,70.1,6.5,19.7,-2.1903656,12.658937
Pointport,Asia,5326,2280,49.5,640,80,48.3,5.1,31.3,-9.63295,4.579401
Fallsburg,Asia,9118,2580,82.2,890,90,55.9,6.6,44.3,-0.5888145,6.3589754
Gardenport,Asia,8955,1730,58.2,620,78,56.6,4.9,28.4,-9.438727,7.7865505
Ridgedale,Asia,6161,3330,81.8,1260,101,75.7,6.6,44.4,1.255255,6.733903
East City,Asia,1595,2160,62.3,540,81,45.7,5.0,20.7,-12.54913,2.4943962
San Field,Asia,6896,2890,69.7,920,119,55.9,4.7,20.4,-7.3834257,13.429732
Valleyport,Asia,8790,2980,73.1,950,109,47.8,5.8,25.2,-6.3781815,12.675769
Lake Ridge,Asia,4149,3070,73.0,980,67,73.4,7.3,34.3,1.9067023,3.7653978
Port Park,Asia,11085,2650,72.8,870,46,66.1,7.3,28.4,-1.0831252,10.430583
Lake Valley,Asia,7014,2800,69.1,830,102,71.6,6.1,30.2,-4.030762,9.87166
Parkton,Asia,11651,3240,78.3,900,115,62.4,5.7,29.6,-5.5214624,14.127857
San River,Asia,8916,1880,81.4,750,112,39.7,4.1,29.4,-9.153341,12.310995
Bridgeborough,Asia,8794,2900,87.2,1130,103,70.0,7.0,38.0,0.5675439,7.0408993
Harborford,Asia,8047,2940,72.6,1010,105,80.9,6.2,24.0,-3.0692852,14.454555
Forestburg,Asia,5660,2980,68.8,1200,99,54.0,5.8,28.7,-4.1535335,6.274031
Port Bay,Asia,8137,1600,54.7,530,57,49.8,5.8,21.5,-10.726321,6.9777417
Harborborough,Asia,8281,3100,72.5,960,78,56.2,6.2,24.7,-4.1349134,11.998932
Bridgeville,North America,2049,4890,92.7,1880,59,51.9,8.5,36.0,19.153349,-7.2707825
Vistaville,North America,4110,4370,100.0,1300,55,95.0,8.5,20.8,22.14017,0.59895146
Port Valley,North America,1527,4120,84.9,1680,62,53.4,7.4,21.2,11.554044,-1.4913522
Lake Park,North America,3465,4480,73.0,1570,67,61.8,8.5,40.8,15.135312,1.1935929
Woodborough,North America,3287,4410,76.1,1780,52,60.7,8.5,32.2,12.977962,0.64765894
Lake Wood,North America,2113,1460,69.4,480,70,37.2,5.8,35.8,-8.7524185,-0.95778894
New Field,North America,3837,3230,91.9,1040,107,54.2,7.2,35.3,5.1164536,3.6022122
Beachshire,North America,2275,3710,98.4,1350,36,67.8,8.2,26.3,13.141621,-4.339146
New Springs,North America,1984,4700,99.1,1730,56,46.3,8.1,35.1,18.526646,-7.7455297
Fieldville,North America,1752,2750,77.1,1040,62,52.3,7.6,41.6,2.6788104,-3.1667793
Cityshire,North America,3975,4250,83.5,1290,79,65.7,8.4,33.6,7.765149,2.7660258
Lake Vista,North America,1785,4260,79.9,1590,52,71.1,8.5,36.5,16.9229,-0.16522509
San Falls,North America,1369,4940,100.0,1500,54,90.9,8.5,34.3,20.653393,-0.2144342
East Town,North America,1507,4420,99.4,1340,56,71.6,8.5,45.2,18.01296,-3.0200655
Lake Falls,North America,628,3910,89.6,1200,57,67.0,8.5,50.2,15.655642,-2.6854503
Riverborough,North America,1648,4600,88.7,1440,72,55.1,7.9,29.3,12.39755,-1.6419264
Stonehaven,North America,1269,4440,100.0,1630,68,62.6,8.4,30.2,18.196955,-5.857871
Fallston,North America,2645,5110,100.0,2080,59,50.9,8.5,35.3,19.852413,-7.342844
East Bridge,North America,3461,5220,95.7,1480,34,66.6,8.5,38.6,18.259007,-4.540391
San Park,North America,2816,4590,70.5,1340,50,67.7,8.5,25.4,11.643814,1.4509841
Springsford,North America,1718,4590,72.3,1420,44,63.0,8.5,46.5,15.0823145,-0.62747025
Saint City,North America,3193,3630,68.5,1490,65,74.1,8.5,45.3,16.567474,1.6118383
Forestport,North America,1299,2430,83.1,870,84,34.5,6.9,34.1,-2.9753976,-2.2029645
North Wood,North America,2314,5070,100.0,1850,66,82.8,8.5,31.2,21.619268,-0.6507811
Lake River,North America,2262,3600,78.2,1470,64,83.7,8.5,43.1,17.405092,1.369592
Fieldburg,North America,2085,4820,96.9,2080,60,44.1,8.5,29.8,19.82483,-8.006408
Ridge,North America,918,4310,100.0,1550,47,59.4,8.5,50.9,14.389041,-9.847124
Old Forest,North America,1379,4220,100.0,1270,54,72.1,8.5,45.2,17.912373,-3.0454915
San Town,North America,4344,3740,89.4,1540,96,55.9,7.3,36.8,6.0951695,3.4500062
Valleyshire,North America,3412,3180,80.6,1010,71,55.4,7.5,47.4,1.968269,-4.7469716
Fieldhaven,North America,3004,5000,100.0,1280,66,43.5,8.5,40.4,16.750128,-9.620607
South Vista,North America,3513,3720,100.0,1370,73,61.9,6.9,24.3,7.1327233,1.4331932
Hillport,North America,3527,4700,100.0,1730,68,87.7,8.5,23.0,22.095337,-0.120865345
West Wood,North America,4527,2930,65.2,930,77,62.0,6.8,32.4,0.49945563,2.7046888
Harborville,North America,3260,3750,99.9,1580,77,71.2,8.2,39.2,18.579746,2.321129
Townburg,North America,3126,3750,85.6,1470,56,39.7,8.5,45.1,7.311923,-7.395769
Forestton,North America,1983,4190,100.0,1760,60,95.0,8.5,32.9,21.091068,0.23369421
San Bridge,North America,2034,4340,83.7,1840,68,62.2,8.5,43.3,15.547043,0.9556638
Gardenland,North America,1388,5080,92.8,1670,54,47.4,8.5,52.9,15.038657,-10.826777
Vistahaven,North America,3037,4450,80.7,1840,42,73.8,8.5,30.0,13.5241375,1.237068
Saint Ridge,North America,2906,4430,88.3,1240,55,56.2,8.5,26.0,11.865428,-2.844906
Valleyton,North America,2165,3370,68.5,1160,59,69.8,8.5,33.7,10.217939,2.5134304
Forestland,North America,3111,4460,100.0,1290,44,82.4,8.5,30.5,20.115644,-0.735664
Lake Springs,North America,2143,4620,100.0,1340,58,47.3,8.5,45.1,16.269878,-9.618361
Woodton,North America,1967,3100,79.0,1270,67,44.1,7.9,39.0,3.703109,-3.886695
Cityborough,North America,2011,4070,87.3,1630,57,51.3,7.6,30.1,12.204035,-1.409007
Fallsdale,North America,2486,4870,88.1,1330,52,89.3,8.5,36.1,19.716032,0.0065815146
Valley,North America,769,5530,100.0,2350,34,63.6,8.5,33.2,20.824186,-6.2682796
Townville,North America,1763,5720,100.0,2430,55,85.6,8.5,22.2,22.494717,-1.5074402
Stoneburg,North America,3830,3290,68.0,1160,63,50.7,7.1,39.1,1.5683721,-1.5371468
Saint Point,South America,4566,1640,66.8,660,87,38.1,5.1,29.5,-9.403491,2.7459798
Woodville,South America,7564,1100,49.7,350,98,43.3,4.2,30.8,-11.095815,4.737986
West Ridge,South America,3779,2500,63.9,880,38,49.0,6.6,34.4,-0.16118902,-1.0498664
Lake Garden,South America,2131,1650,55.3,570,74,40.3,4.7,20.6,-13.035683,2.0110288
Bridgehaven,South America,1137,2460,64.1,960,59,54.7,6.7,40.3,0.5945552,-2.0839005
Vistadale,South America,6089,1980,63.9,710,97,47.1,5.0,32.7,-8.605479,4.005807
North Valley,South America,2816,1460,66.3,540,92,53.4,6.3,34.6,-7.664242,1.3025373
East Park,South America,4621,1790,71.3,580,86,60.4,5.7,43.0,-5.394653,1.1262195
Gardenville,South America,3088,1830,64.0,620,79,38.4,5.2,35.1,-8.836552,0.18064022
Port Garden,South America,3458,1490,63.5,350,55,38.3,5.7,43.7,-8.860536,-2.7023625
West Springs,South America,6758,2240,66.6,1010,104,48.6,4.5,16.2,-7.744498,12.795418
Citydale,South America,2635,1590,50.0,790,66,35.0,5.5,35.2,-11.094287,-1.6481034
Wooddale,South America,4679,1350,61.9,450,60,38.8,6.0,28.6,-10.884023,0.67296016
North Park,South America,4308,1600,66.8,570,84,46.2,5.9,36.7,-8.023705,1.3581336
Vistaburg,South America,5078,2040,64.9,670,86,49.1,4.9,25.6,-8.315895,4.920553
Riverport,South America,2029,2130,82.1,730,66,51.5,6.8,30.0,-2.5746624,-0.10486369
West Garden,South America,2633,1760,76.7,520,55,45.9,6.0,28.7,-3.2757804,-0.0880185
Stoneford,South America,2930,1570,54.3,650,77,52.1,4.7,22.5,-13.144487,2.7767107
East River,South America,4848,2390,55.9,990,67,68.4,5.8,24.0,-7.479942,7.730487
Fieldland,South America,3076,2110,53.2,600,62,42.3,5.7,25.3,-11.901338,1.2536398
Mount Point,South America,3877,2140,64.5,490,68,49.0,6.6,42.8,-6.9466205,-2.1073036
Cityton,South America,5703,1520,68.0,430,84,65.2,5.8,43.0,-5.3343153,1.1601498
Mount Springs,South America,548,1760,65.4,470,45,36.9,7.1,32.9,-8.6918545,-4.3724556
Hillshire,South America,4662,1850,67.5,760,80,50.8,5.2,32.0,-7.6024694,3.8213873
Ridgeborough,South America,2995,1850,58.3,690,59,54.5,6.9,45.9,-6.7385683,-2.9629946
Parkford,South America,4630,1990,69.4,750,111,63.6,5.9,28.0,-5.212454,7.751774
Beachville,South America,3528,2250,64.8,860,75,59.3,5.5,25.4,-7.369544,6.474396
Old Point,South America,6084,2470,66.2,860,89,61.9,5.8,17.5,-3.4121256,12.220405
Harborton,South America,2777,1640,55.5,560,84,51.3,5.2,36.8,-9.313275,0.67018265
Valleyland,South America,5451,1910,63.1,600,69,56.5,5.4,28.6,-8.432487,6.1153774
Gardendale,South America,4343,1550,50.0,630,70,47.4,6.0,36.6,-10.062362,-0.76615566
Saint Town,South America,5061,2110,61.3,620,99,50.0,4.8,34.2,-8.844919,3.777568
Springshaven,South America,3500,1340,59.7,530,55,44.9,6.1,42.0,-8.586889,-2.4522202
Stoneport,South America,5740,1870,62.4,820,68,63.2,5.7,27.3,-7.9335327,7.026124
Saint Stone,South America,7147,1910,65.1,770,84,70.5,5.5,36.2,-3.7174494,8.721782
San Ridge,South America,3377,1550,59.2,480,63,35.4,5.7,40.8,-9.165114,-1.9919779
Old Valley,South America,5263,1410,65.7,550,87,46.4,5.1,35.0,-8.303535,2.6101785
Mount River,South America,1158,1770,56.4,630,59,47.2,5.5,37.8,-10.38109,-2.6007435
New Town,South America,3507,1600,49.5,570,91,40.3,4.2,21.0,-14.035529,1.8636866
Mount Town,South America,3921,1690,61.1,480,106,42.4,4.8,28.5,-10.286038,3.3827136
Port Town,Africa,2258,960,43.6,350,96,40.1,3.8,35.0,-16.184664,-3.1252882
Valleyville,Africa,2685,780,34.0,200,92,42.2,3.3,32.2,-15.477714,-3.2511706
Old Bay,Africa,2072,480,45.9,170,100,33.2,2.5,17.5,-16.398804,1.1207083
Springsburg,Africa,861,1230,37.0,340,70,30.7,4.2,31.1,-16.866299,-1.22586
Beachhaven,Africa,2223,910,42.1,380,63,39.2,4.8,51.2,-20.270876,-3.6926413
West Harbor,Africa,856,830,46.3,240,53,15.0,3.7,41.1,-19.10042,-1.6092415
Springsshire,Africa,1567,840,44.7,280,74,32.4,4.1,31.4,-16.365393,-1.5657437
North Springs,Africa,1668,700,45.5,290,88,42.3,4.0,40.8,-17.18371,-3.3625937
New Vista,Africa,2656,920,47.5,380,106,46.8,3.4,23.1,-15.473772,0.9956735
Stoneborough,Africa,2716,600,44.8,210,95,28.7,4.1,36.7,-16.741676,-3.988177
North River,Africa,3701,670,36.2,240,130,31.1,2.6,40.3,-15.942318,-5.878951
Bayville,Africa,1845,790,47.5,280,62,27.3,4.6,42.3,-18.692625,-2.4594922
West City,Africa,1418,980,52.6,390,65,36.0,5.6,38.2,-12.550255,-2.7452047
East Wood,Africa,2961,560,45.7,190,96,30.1,2.9,36.8,-16.159275,-4.3740187
Parkburg,Africa,3088,970,45.2,370,70,42.2,4.5,34.5,-14.812038,-1.8705297
Old Field,Africa,1985,1050,46.8,260,80,38.5,5.2,52.3,-20.092167,-4.565778
Hillford,Africa,2337,1090,50.4,350,85,29.0,4.8,52.2,-19.30368,-5.0844975
Valleyhaven,Africa,2215,1020,41.3,330,125,33.3,3.1,40.7,-16.3767,-5.7669005
Fielddale,Africa,1974,740,43.2,270,77,23.7,4.0,47.7,-18.720469,-4.035615
Riverdale,Africa,1868,940,45.7,240,85,45.5,4.6,50.7,-19.608992,-4.360539
New Valley,Africa,2017,600,52.0,190,97,47.5,3.2,26.2,-15.79542,0.27221605
San Hill,Africa,1662,880,39.8,310,83,28.2,4.8,56.9,-20.004248,-5.3764653
San Springs,Africa,2211,740,48.5,250,69,40.4,4.4,44.4,-18.845327,-3.2766938
Hillborough,Africa,1774,850,46.0,320,89,44.0,4.3,31.8,-15.604211,-1.1803937
Ridgeport,Africa,3066,930,49.2,260,106,28.1,3.1,40.7,-16.708324,-5.0164485
South Bridge,Africa,421,750,37.6,210,82,32.7,3.7,33.7,-16.846249,-1.9883971
New Beach,Africa,2640,810,38.6,240,67,37.0,4.2,36.3,-15.611887,-2.1321237
Pointville,Africa,2270,1010,49.3,460,77,29.6,4.7,39.3,-17.771292,-2.6896503
New Bay,Africa,1161,960,47.5,350,96,41.1,3.6,34.2,-16.304445,-2.6967347
North Bridge,Africa,1556,710,38.2,280,62,36.2,4.6,50.1,-19.937658,-3.3368018
Old Town,Africa,2859,940,39.4,390,106,32.9,3.7,47.3,-17.620192,-5.5750065
San Forest,Africa,2118,1000,54.4,350,65,37.6,5.6,52.7,-20.825165,-4.3083
Parkdale,Africa,2460,1240,37.6,480,67,41.1,4.4,37.4,-14.737639,-2.3389006
New Ridge,Africa,2147,1110,48.6,350,88,39.5,4.0,24.3,-14.890862,0.5086996
South River,Africa,1716,1080,45.6,340,44,51.4,4.2,34.2,-13.630097,-2.0210028
Springston,Oceania,885,3910,100.0,1370,24,64.2,8.5,35.1,14.37507,-5.453539
Pointton,Oceania,1045,3190,75.0,890,33,61.1,8.5,40.9,9.746049,-6.7319794
South Park,Oceania,971,3890,96.5,1600,32,62.5,8.5,49.2,13.909729,-9.11694
East Falls,Oceania,1064,4210,94.0,1290,33,58.0,8.5,35.6,14.7453985,-5.8888917
Old Ridge,Oceania,1481,4290,96.8,1360,34,51.6,8.5,58.0,13.87861,-10.733095
Fallsford,Oceania,835,4300,100.0,1800,26,43.6,8.5,34.1,18.206,-8.722781
North Point,Oceania,1613,4200,100.0,1310,32,51.6,8.5,15.3,11.144001,-4.212419
North Town,Oceania,1015,3270,100.0,1170,36,53.9,8.3,36.7,13.298526,-6.5729356
Valleydale,Oceania,533,3610,90.9,1280,38,58.8,8.3,28.3,12.713758,-5.199037
Riverton,Oceania,915,3360,94.8,1330,36,59.0,8.5,30.7,13.091494,-5.49155
South Point,Oceania,849,3000,82.9,1170,41,57.0,8.5,41.4,9.711047,-6.417063
Vistaton,Oceania,730,2820,68.8,1080,63,54.8,7.2,35.3,2.704341,-1.4017367
Hillburg,Oceania,737,2980,79.3,720,51,38.2,7.9,36.5,4.8315783,-2.502309
Mount Wood,Oceania,737,4360,53.9,1610,26,55.4,8.5,36.1,10.305793,-9.400498
South Bay,Oceania,1647,3950,76.4,1210,57,56.2,8.5,36.9,9.090758,-1.0772009
Fieldshire,Oceania,2042,3620,87.8,1170,43,67.6,8.5,48.5,15.139576,-2.4542584
Gardenshire,Oceania,1124,3520,88.3,1320,52,63.2,8.5,47.4,14.979452,-2.7493787
South Stone,Oceania,594,4220,72.7,1850,22,65.1,8.5,32.5,10.99725,-9.051437
Old Beach,Oceania,1605,4400,100.0,1510,41,60.4,8.5,38.4,16.426317,-5.972157
Vistashire,Oceania,1007,4130,86.2,1570,38,56.8,8.5,37.5,15.457686,-5.73077
New Falls,Oceania,2554,3360,83.5,1150,26,29.9,8.4,29.6,8.809773,-3.363484
Mount Stone,Oceania,1274,4080,85.3,1430,53,79.1,8.5,31.8,18.26436,-0.2751761
San Stone,Oceania,1529,3800,95.0,1340,39,69.7,8.5,37.1,16.33711,-4.2711987
Bridgeport,Oceania,1474,3620,76.3,1430,47,65.9,8.5,46.7,15.006862,-1.3043827
Beachdale,Oceania,1734,3700,96.4,1090,35,54.7,8.5,28.0,12.142356,-5.1712713
New Forest,Oceania,1255,2890,86.4,940,28,53.4,8.5,35.2,10.685975,-6.4340467
